id,topic1_id,topic1_score,topic2_id,topic2_score,topic3_id,topic3_score,topic4_id,topic4_score,topic5_id,topic5_score,topic6_id,topic6_score,topic7_id,topic7_score,topic8_id,topic8_score,topic9_id,topic9_score,topic10_id,topic10_score
idc7bc71d63,12100,0.1826418936252594,10621,0.13804782927036285,11187,0.10248545557260513,11471,0.05148964375257492,13187,0.04354140907526016,10591,0.031288180500268936,10044,0.02932244911789894,11520,0.02918056771159172,11486,0.02447880245745182,12044,0.02282101847231388
i3202badd86,13104,0.15558290481567383,12044,0.0965193584561348,13126,0.07646436244249344,13889,0.04816002771258354,10022,0.04032556712627411,12466,0.03360281139612198,14089,0.029681723564863205,11177,0.021495895460247993,10321,0.01320276316255331,14128,0.012788183055818081
i34d3cc0237,10086,0.27310746908187866,14135,0.1895102560520172,10407,0.08465438336133957,10085,0.02942073717713356,13434,0.017037080600857735,12846,0.011365118436515331,14065,0.010688251815736294,12044,0.006627593655139208,11304,0.005560250487178564,13533,0.0054712756536901
i2d34b5aad7,10519,0.8280033469200134,14135,0.006763427518308163,11131,0.005368540063500404,14065,0.004339761566370726,12867,0.004250313155353069,12254,0.004205053672194481,10885,0.003980687819421291,10301,0.0038722686003893614,10505,0.003469110233709216,11310,0.003364235395565629
ie11c967713,10222,0.42883753776550293,10269,0.318583220243454,11736,0.023686328902840614,10492,0.022746074944734573,10434,0.014429813250899315,10268,0.012643278576433659,10184,0.008578374050557613,13157,0.006063350010663271,11213,0.005569744389504194,12820,0.005461880471557379
i85dbd85033,10353,0.9734695553779602,10735,0.009553457610309124,13104,0.0012215464375913143,12063,0.000958565971814096,11825,0.0008861279347911477,10495,0.0008336429600603878,11351,0.0007071865256875753,11009,0.000644843967165798,11746,0.0005102040013298392,12270,0.0004979956429451704
i250f20314b,10079,0.6196291446685791,11331,0.10682360827922821,11188,0.0232738945633173,12078,0.016124876216053963,10753,0.008024261333048344,13793,0.007292236667126417,11634,0.007204222027212381,14252,0.0069973161444067955,11119,0.006706033367663622,10139,0.0066452668979763985
iae2555b65b,10780,0.41551920771598816,14138,0.0560186468064785,10164,0.02858027070760727,11918,0.02286301739513874,13706,0.02018522098660469,10050,0.019833503291010857,10220,0.018061330541968346,11938,0.017305854707956314,14306,0.014808920212090015,12126,0.011507813818752766
i2be1bd6820,10378,0.14799490571022034,11778,0.07298168540000916,10874,0.06150282546877861,10727,0.05283859744668007,12603,0.026821564882993698,12994,0.022180749103426933,11993,0.019932864233851433,13307,0.0176779143512249,12405,0.01655803807079792,10958,0.015909258276224136
i772eabde43,10618,0.7837574481964111,12453,0.0417153537273407,10172,0.02891768328845501,10300,0.019085261970758438,12264,0.016141260042786598,10983,0.015282150357961655,10675,0.00528028653934598,11260,0.004535291809588671,13258,0.004297317937016487,10729,0.004189345985651016
